id,predicted
1,12
2,60
3,91
4,54
5,42
6,76
7,94
8,8
9,127
10,117
11,90
12,19
13,118
14,22
15,71
16,111
17,6
18,40
19,104
20,27
21,54
22,61
23,108
24,15
25,113
26,89
27,55
28,18
29,20
30,49
31,77
32,21
33,65
34,24
35,74
36,102
37,46
38,83
39,8
40,18
41,89
43,58
44,85
45,97
46,90
47,30
48,63
49,32
50,64
51,27
52,53
53,48
54,115
55,3
56,115
57,71
58,5
59,126
60,40
61,112
62,127
63,13
64,26
65,102
66,53
67,79
68,60
69,8
70,46
71,127
72,103
73,118
74,107
75,75
76,30
77,89
78,63
79,43
80,90
81,43
82,115
83,58
84,100
85,119
86,65
87,74
88,63
89,88
90,107
91,30
92,89
93,14
94,26
95,24
96,59
97,102
98,104
99,70
100,89
101,90
102,113
103,18
104,84
105,37
106,120
107,83
108,39
109,126
110,98
111,126
112,106
113,16
114,2
115,40
116,90
117,36
118,128
119,74
120,63
121,112
122,14
123,47
124,67
125,48
126,76
127,105
128,61
130,58
131,85
132,111
133,56
134,44
135,53
136,101
137,80
138,103
139,27
140,9
141,77
142,9
143,105
144,27
145,47
146,122
147,120
148,71
149,1
151,43
152,34
153,127
154,65
155,52
157,37
158,77
160,22
161,6
162,20
163,9
164,123
165,50
166,64
167,77
168,46
169,62
170,32
171,64
172,61
173,14
174,85
175,11
176,92
177,22
178,77
179,16
180,14
181,56
182,89
183,14
184,34
185,64
186,80
187,27
188,39
189,53
190,20
191,87
192,56
193,32
194,26
195,56
196,14
197,75
198,60
199,104
200,102
201,51
202,70
203,62
204,4
205,92
206,104
207,5
208,62
209,22
210,115
211,82
212,111
213,60
214,22
215,9
216,126
217,12
218,37
219,121
220,56
221,71
222,18
223,76
224,22
225,58
226,77
227,9
228,58
229,71
230,71
231,15
232,100
233,104
234,105
235,26
236,13
237,28
238,85
239,68
240,96
241,23
242,111
243,20
244,52
245,110
246,121
247,48
248,118
249,61
250,30
251,18
252,82
253,12
254,26
255,35
256,110
257,82
258,60
259,108
260,33
261,49
262,66
263,34
264,103
265,19
266,1
267,5
268,89
269,97
270,34
271,50
272,30
273,88
274,94
275,113
276,31
277,42
278,50
279,8
280,128
281,48
282,86
283,10
284,102
285,128
286,52
287,40
288,78
289,42
290,52
291,79
292,60
293,84
294,24
295,121
296,30
297,117
298,18
299,127
300,6
301,40
302,88
303,56
304,108
305,36
306,39
307,70
308,9
309,41
310,118
311,81
312,97
313,14
314,1
315,100
316,97
317,49
318,38
319,29
321,41
322,14
323,53
324,68
325,41
326,89
327,14
328,17
329,4
330,34
331,2
332,83
333,65
334,102
335,121
336,44
337,26
338,118
339,74
340,30
341,16
342,89
343,56
344,54
345,2
346,39
347,1
348,63
349,60
350,14
351,97
352,43
353,51
354,27
355,51
356,21
357,55
358,1
359,85
360,54
361,45
362,48
363,24
364,66
365,65
366,116
367,70
368,32
369,28
370,112
371,31
372,34
373,108
374,118
375,28
376,62
377,39
378,34
379,93
380,48
381,102
382,82
383,65
384,64
385,22
386,79
387,97
388,109
389,114
390,7
391,16
392,5
393,42
395,3
396,71
397,53
398,74
399,106
400,116
401,111
402,22
403,128
404,44
405,88
406,28
407,8
408,68
409,89
410,40
411,85
412,93
413,128
414,113
415,96
416,50
417,55
